What is a FADEC?,A full-authority digital electronic control (FADEC) is a high-precision digital electronic fuel control that functions during all engine operations. It includes the electronic engine control (EEC) and functions with the flight management computer (FMC) to measure the fuel to the nozzles in such a way that prevents overshooting of power changes and overtemperature conditions. FADEC furnishes information to the engine indicating and crew alerting system (EICAS).
Does a turbine engine controlled by a FADEC require manual trimming?,"No, this is done by the FADEC."
What parameters are normally sensed by a turbine-engine fuel control?,a. Power lever angle. b. Compressor inlet total temperature. c. Compressor RPM. d. Burner pressure.
What is meant by trimming a turbine engine?,Adjusting the fuel control for the proper specific gravity of the fuel and for the proper idle and full throttle RPM.
What are two types of electronic fuel controls for turbine engines?,Supervisory electronic engine control and full-authority digital electronic control.
What position should the flight deck fuel metering control (or fuel condition lever) be set to for starting a turbine engine?,"The normal starting sequence is: 1. Rotate the compressor with the starter; 2. Turn the ignition on; and 3. Open the engine fuel valve, either by moving the throttle to idle or by moving a fuel shutoff lever or turning a switch."
How does a leak appear in an engine exhaust system?,It normally looks like a gray or black feather-shaped streak coming from a crack or from a location where components are not in perfect alignment.
How can you check a reciprocating engine exhaust system for leaks?,Pressurize the exhaust system with the discharge from a vacuum cleaner and wipe a soap solution over all joints and suspect areas. A leak will cause bubbles to form.
"How do the components in the exhaust system of a turbocharged engine allow for expansion and contraction due to heat, and at the same time prevent leakage?",Bellows and ball joints prevent leakage while allowing contraction and expansion.
Should a turbocharged engine be started with the waste gate open or closed?,"Open, so as much exhaust as possible will bypass the turbine."
What is the primary function of a reciprocating engine exhaust system?,"Its main function is to dispose of the gases with complete safety to the airframe and the occupants of the aircraft. The exhaust system can perform many useful functions, but its first duty is to provide protection against the potentially destructive action of the exhaust gases."
What is a short stack exhaust system?,The short stack exhaust system utilizes open exhaust tubes with no mufflers. The short stack system is generally used on non-supercharged engines and low-powered engines where the noise level is not too objectionable.
How is exhaust flow different in a ducted fan turbine engine verses an unducted fan engine?,"Ducted fan engines take the fan airflow and direct it through closed ducts along the engine. Then, it flows into a common exhaust nozzle. The core exhaust flow and the fan flow mix and flow from the engine through this mixed nozzle. The unducted fan has two nozzles, one for the fan airflow and one for the core airflow. These both flow to ambient air separate from each other and have separate nozzles."
What is the function of the snap ring inside the hub of a propeller that is mounted on a tapered or splined shaft?,The snap ring allows the propeller to be pulled off of the shaft when the retaining nut is backed off.
What are the basic types of propellers?,"Fixed pitch, ground adjustable, constant-speed non-feathering, and constant-speed feathering."
What materials are propeller blades made from?,"Wood, aluminum, and composite construction."
What does the pilot do to change the RPM of an engine equipped with a constant-speed propeller when it is operating within the constant-speed range?,The pilot moves the propeller pitch control. This changes the compression on the speeder spring inside the governor which moves the pilot valve. The pilot valve directs oil into or out of the propeller to change the pitch of the blades. The change in pitch changes the air load on the propeller which changes the RPM.
What is the difference between a controllable propeller and a constant-speed propeller?,"Basically, it is the control system. A controllable-pitch propeller uses a manually operated oil valve to control the pitch, and a constant-speed propeller uses a governor to control the valve."
"When making a magneto check on an engine equipped with a constant-speed propeller, should the propeller control be in the low-pitch or the high-pitch position?","It should be in the low-pitch, high RPM position."
Where do you find a list of the lubricants that are approved for use in a constantspeed propeller?, In the maintenance manual for the propeller.
What is the extent of the repairs a mechanic with a Powerplant rating can make to a propeller?,Only minor repairs or minor alterations.
Where can examples of acceptable repairs to aluminum alloy propeller blades be found?,"In AC 43.13-1B, Chapter 8, Section 4, and in the propeller manufacturer’s service manuals."
Is it permissible to cold straighten a damaged aluminum alloy propeller blade to facilitate shipping it to a repair station?,"No, this could cause hidden damage that may render the blade nonrepairable."
What would be the classification of maintenance for shortening a propeller blade?,Major repair.
May transverse cracks in a metal propeller blade be repaired?,"No, a transverse crack of any size is reason for rejecting the blade."
What damage to an aluminum alloy propeller blade can be repaired by a mechanic holding a Powerplant rating?,"Small roughness, nicks, and scratches in the leading edge of the blades."
How are small nicks removed from the leading edge of a propeller blade?,"File them out with a fine file or stone, leaving a smooth contour."
How can you determine that a surface scratch in an aluminum alloy propeller blade is not actually a crack?,"Clean the damage out to a saucer-shaped depression and spray the area with a dyepenetrant liquid. Allow it time to seep into a crack if one is present, then wipe all of the liquid off the surface. Spray the area with a developer. If the damage is actually a crack, the developer will pull the penetrant out and it will form a visible line."
"Who, or what facility, is authorized to perform major repairs to a propeller?",An FAA-approved propeller repair station that is authorized for the specific propeller.
What checks and maintenance is a mechanic with a Powerplant rating allowed to make on a propeller?,Check the track of the propeller blades. Remove small nicks and scratches from the blades. Check the dynamic balance of a propeller. Lubricate the propeller.
What adjustment can a mechanic with a Powerplant rating make to a propeller governor?,Adjust the maximum RPM stop.
What instrument is used to measure the blade angle of a propeller?,A universal propeller protractor.
Where is the propeller protractor placed to measure the propeller blade angle?,At a distance from the center of the propeller hub. This distance is specified in the propeller maintenance manual in terms of propeller blade stations.
What are the basic steps for removing a typical propeller?,1. Remove the spinner and remove safety wire from the mounting bolts. 2. Support the propeller with a sling and mark the alignment between the propeller hub and he engine flange with a felt-tipped pen. 3. Unscrew the mounting nuts and protect the threads of the mounting studs or bolts as the propeller is removed. 4. Place the propeller on a cart for transport.
What alignment method is used to align a propeller to the engine in a position that reduces operating vibrations?,Special studs or dowel pins align the propeller to the engine in the proper orientation.
